location,policeForce
Gronant,North Wales
Gwaenysgor,North Wales
Gwernaffield-y-Waun,North Wales
Gwernymynydd,North Wales
Gwespyr,North Wales
Halkyn (Helygain),North Wales
Halkyn Mountain,North Wales
Hawarden (Penarlag),North Wales
Helygain (Halkyn),North Wales
Hendre,North Wales
Higher Kinnerton,North Wales
Higher Shotton,North Wales
Holway,North Wales
Holywell (Treffynnon),North Wales
Hope (Yr Hob),North Wales
Horeb,North Wales
Kelsterton,North Wales
Kinnerton Green,North Wales
Lane End,North Wales
Leadmill,North Wales
Leeswood (Coed-Llai),North Wales
Little Mancot,North Wales
Little Mountain,North Wales
Lixwm,North Wales
Llan-eurgain (Northop),North Wales
Llanasa,North Wales
Llanfynydd,North Wales
Llannerch-y-mor,North Wales
Lloc,North Wales
Llong,North Wales
Lower Kinnerton,North Wales
Lower Mountain,North Wales
Maes Pennant,North Wales
Maes-Glas (Greenfield),North Wales
Maes-y-dre,North Wales
Mancot Royal,North Wales
Marian,North Wales
Milwr,North Wales
Moel-y-crio,North Wales
Mold,North Wales
Mold (Yr Wyddgrug),North Wales
Mostyn,North Wales
Mount Pleasant,North Wales
Mwdwl-eithin,North Wales
Mwynbwll,North Wales
Mynydd Isa,North Wales
Mynydd-llan,North Wales
Naid-y-march,North Wales
Nannerch,North Wales
Nant Alyn,North Wales
Nant Mawr,North Wales
Nant y Flint,North Wales
Nercwys,North Wales
New Brighton,North Wales
Northop (Llan-eurgain),North Wales
Northop Hall,North Wales
Oakenholt,North Wales
Old Warren,North Wales
Pant,North Wales
Pant y Wacco,North Wales
Pantasaph,North Wales
Pantymwyn,North Wales
Pen-Uchar Plwyf,North Wales
Pen-y-Ball Top,North Wales
Pen-y-cefn,North Wales
Pen-y-felin,North Wales
Pen-y-ffordd,North Wales
Pen-y-maes,North Wales
Penarlag (Hawarden),North Wales
Penbedw,North Wales
Pentre,North Wales
Pentre Halkyn,North Wales
Pentre-Ffwrndan,North Wales
Penyffordd,North Wales
Penymynydd,North Wales
Per-ffordd-llan,North Wales
Picton,North Wales
Point of Ayr,North Wales
Pont-newydd,North Wales
Pontblyddyn,North Wales
Prenbrigog,North Wales
Pwll-clai,North Wales
Pwll-melyn,North Wales
Queensferry,North Wales
Rhes-y-Cae,North Wales
Rhewl-fawr,North Wales
Rhewl-Mostyn,North Wales
Rhosesmor,North Wales
Rhydymwyn,North Wales
Saith ffynnon,North Wales
Saltney,North Wales
Sandycroft,North Wales
Sarn,North Wales
Sealand,North Wales
Shotton,North Wales
Shotwick,North Wales
Smithy Gate,North Wales
Soughton (Sychdyn),North Wales
Spon Green,North Wales
Sychdyn (Soughton),North Wales
Talacre,North Wales
Tanlan,North Wales
Tanlan Banks,North Wales
The Moor,North Wales
Tre-lan,North Wales
Tre-Mostyn,North Wales
Treffynnon (Holywell),North Wales
Trelogan,North Wales
Treuddyn,North Wales
Waen,North Wales
Walwen,North Wales
Wepre,North Wales
Wern-y-gaer,North Wales
Whelston,North Wales
Whitford (Chwitffordd),North Wales
Windmill,North Wales
Y Fflint (Flint),North Wales
Yr Hob (Hope),North Wales
Yr Wyddgrug (Mold),North Wales
Ysceifiog,North Wales
Gwynedd,North Wales
Aber-Cywarch,North Wales
Aberdaron,North Wales
Aberdesach,North Wales
Aberdyfi,North Wales
Abererch,North Wales
Abergwyngregyn,North Wales
Abergynolwyn,North Wales
Abersoch,North Wales
Abertrinant,North Wales
Afon Wen,North Wales
Anafon,North Wales
Anelog,North Wales
Arthog,North Wales
Artro,North Wales
Bala,North Wales
Bangor,North Wales
Bardsey Island,North Wales
Barmouth,North Wales
Beddgelert,North Wales
Bethania,North Wales
Bethasda,North Wales
Bethel,North Wales
Bethesda,North Wales
Betws Garmon,North Wales
Blaenau Ffestiniog,North Wales
Boduan,North Wales
Bontddu,North Wales
Bontnewydd,North Wales
Borth-y-Gest,North Wales
Botwnnog,North Wales
Braichmelyn,North Wales
Brithdir,North Wales
Bronaber,North Wales
Bryn,North Wales
Bryn Bwbach,North Wales
Bryn Eglwys,North Wales
Bryn-mawr,North Wales
Bryn-y-mor,North Wales
Bryncir,North Wales
Bryncroes,North Wales
Bryncrug,North Wales
Brynglas Sta,North Wales
Brynrefail,North Wales
Bwlch,North Wales
Bwlch-derwin,North Wales
Bwlchtocyn,North Wales
Bwlchyllyn,North Wales
Cadair,North Wales
Cadair Idris,North Wales
Cae Clyd,North Wales
Caeathro,North Wales
Caerdeon,North Wales
Caerhun,North Wales
Caernarfon,North Wales
Capel Uchaf,North Wales
Capel-y-graig,North Wales
Carmel,North Wales
Carnedd Dafydd,North Wales
Carnedd Llewelyn,North Wales
Carreg Ddu,North Wales
Carreg y Garth,North Wales
Cefn-ddwysarn,North Wales
Ceunant,North Wales
Chwilog,North Wales
Cilgwyn,North Wales
Clwt-y-bont,North Wales
Clynnog-fawr,North Wales
Clywedog,North Wales
Coed Mawr,North Wales
Coed Ystumgwern,North Wales
Coed-y-parc,North Wales
Colwyn,North Wales
Congl-y-wal,North Wales
Conwy,North Wales
Corris,North Wales
Corris Uchaf,North Wales
Criccieth,North Wales
Croesor,North Wales
Croesywaun,North Wales
Cutiau,North Wales
Cwm-Cewydd,North Wales
Cwm-mynach,North Wales
Cwm-y-glo,North Wales
Cwrt,North Wales
Dee,North Wales
Deiniolen,North Wales
Denio,North Wales
Dinas,North Wales
Dinas Dinlle,North Wales
Dinas-Mawddwy,North Wales
Dinorwic,North Wales
Dol-ffanog,North Wales
Dolbenmaen,North Wales
Dolgellau,North Wales
Dolgoch,North Wales
Dolhendre,North Wales
Dolydd,North Wales
Dwyfach,North Wales
Dwyfor,North Wales
Dwyryd,North Wales
Dyffryn Ardudwy,North Wales
Dyfi,North Wales
Dyfrdwy,North Wales
Dysynni,North Wales
Eden,North Wales
Edern,North Wales
Efailnewydd,North Wales
Eisingrug,North Wales
Erch,North Wales
Esgairgeiliog,North Wales
Fachell,North Wales
Fachwen,North Wales
Fairbourne,North Wales
Ffestiniog,North Wales
Foel-Fras,North Wales
Friog,North Wales
Fron,North Wales
Frongoch,North Wales
Gaedol,North Wales
Gallt-y-foel,North Wales
Ganllwyd,North Wales
Garndolbenmaen,North Wales
Garnfadryn,North Wales
Garreg,North Wales
Garth,North Wales
Gellilydan,North Wales
Gerlan,North Wales
Glan Adda,North Wales
Glan Dwyfach,North Wales
Glan-y-wern,North Wales
Glan-yr-afon,North Wales
Glasinfryn,North Wales
Glaslyn,North Wales
Glyder Fawr,North Wales
Golan,North Wales
Gorddinog,North Wales
Groesffordd,North Wales
Groeslon,North Wales
Gryn Goch,North Wales
Gwastadgoed,North Wales
Gwastadnant,North Wales
Gwyrfai,North Wales
Harlech,North Wales
Hawddamor,North Wales
Hendre,North Wales
Hirael,North Wales
Llanaber,North Wales
Llanaelhaearn,North Wales
Llanarmon,North Wales
Llanbedr,North Wales
Llanbedrog,North Wales
Llanberis,North Wales
Llandanwg,North Wales
Llanddeiniolen,North Wales
Llandderfel,North Wales
Llanddwywe,North Wales
Llandecwyn,North Wales
Llandegai,North Wales
Llandwrog,North Wales
Llanegryn,North Wales
Llanelltyd,North Wales
Llanenddwyn,North Wales
Llanengan,North Wales
Llanfachreth,North Wales
Llanfaglan,North Wales
Llanfair,North Wales
Llanfihangel-y-pennant,North Wales
Llanfihangel-y-traethau,North Wales
Llanfor,North Wales
Llanfrothen,North Wales
Llangelynnin,North Wales
Llangian,North Wales
Llangower,North Wales
Llangwnnadl,North Wales
Llangybi,North Wales
Llaniestyn,North Wales
Llanllechid,North Wales
Llanllyfni,North Wales
Llannor,North Wales
Llanrug,North Wales
Llanuwchllyn,North Wales
Llanwnda,North Wales
Llanycil,North Wales
Llanymawddwy,North Wales
Llanystumdwy,North Wales
Llecheiddior,North Wales
Llechfraith,North Wales
Lleyn Peninsula (Penrhyn Llyn),North Wales
Llidiardau,North Wales
Llithfaen,North Wales
Lliw,North Wales
Llwyndyrys,North Wales
Llwyngwril,North Wales
Lon,North Wales
Machroes,North Wales
Maentwrog,North Wales
Maesgeirchen,North Wales
Mallwyd,North Wales
Marian-y-de (South Beach),North Wales
Marian-y-mor (West End),North Wales
Mawddach,North Wales
Minffordd,North Wales
Minllyn,North Wales
Moel Tryfan,North Wales
Morfa,North Wales
Morfa Bychan,North Wales
Morfa Nefyn,North Wales
Myndd Llandegai,North Wales
Mynydd Gilan,North Wales
Mynytho,North Wales
Nannau,North Wales
Nant Peris,North Wales
Nant Peris (Old Llanberis),North Wales
Nantlle,North Wales
Nantmor,North Wales
Nantygwryd,North Wales
Nasareth,North Wales
Nebo,North Wales
Nefyn,North Wales
Ogwen,North Wales
Old Llanberis (Nant Peris),North Wales
Pandy,North Wales
Pant,North Wales
Pant Glas,North Wales
Pantperthog,North Wales
Parc,North Wales
Pen-gilfach,North Wales
Pen-y-bont,North Wales
Pen-y-bryn,North Wales
Pen-y-graig,North Wales
Pen-y-groeslon,North Wales
Penbodlas,North Wales
Pencaenewydd,North Wales
Pendre,North Wales
Penhelig,North Wales
Penllech,North Wales
Penmaenpool,North Wales
Penmorfa,North Wales
Pennal,North Wales
Penrallt,North Wales
Penrhos,North Wales
Penrhos-garnedd,North Wales
Penrhyn Llyn (Lleyn Peninsula),North Wales
Penrhyn Mawr,North Wales
Penrhyndeudraeth,North Wales
Pentir,North Wales
Pentre Gwynfryn,North Wales
Pentrefelin,North Wales
Pentreuchaf,North Wales
Penycaerau,North Wales
Penyffridd,North Wales
Penygroes,North Wales
Pistyll,North Wales
Pont-Rhythallt,North Wales
Pont-rug,North Wales
Pontllyfni,North Wales
Port Dinorwig (Y Felinheli),North Wales
Porth Colmon,North Wales
Porthmadog,North Wales
Portmeirion,North Wales
Prenteg,North Wales
Prysor,North Wales
Pwllheli,North Wales
Rachub,North Wales
Rhaeadr-fawr,North Wales
Rhiw,North Wales
Rhiwbryfdir,North Wales
Rhiwen,North Wales
Rhiwlas,North Wales
Rhos Isaf,North Wales
Rhos-ddu,North Wales
Rhos-fawr,North Wales
Rhos-y-gwaliau,North Wales
Rhos-y-llan,North Wales
Rhosdylluan,North Wales
Rhosgadfan,North Wales
Rhosgyll,North Wales
Rhoshirwaun,North Wales
Rhoslan,North Wales
Rhoslefain,North Wales
Rhostryfan,North Wales
Rhyd,North Wales
Rhyd-Ddu,North Wales
Rhyd-hir,North Wales
Rhyd-uchaf,North Wales
Rhyd-y-clafdy,North Wales
Rhyd-y-gwystl,North Wales
Rhyd-y-sarn,North Wales
Rhyd-yr-onnen,North Wales
Rhydlios,North Wales
Rhydymain,North Wales
Sarn Meyllteyrn,North Wales
Sarn-bach,North Wales
Sarnau,North Wales
Saron,North Wales
Seion,North Wales
Seiont,North Wales
Snowdon,North Wales
Soar,North Wales
Soch,North Wales
South Beach (Marian-y-de),North Wales
Tabor,North Wales
Tai-morfa,North Wales
Tal-y-bont,North Wales
Tal-y-llyn,North Wales
Tal-y-waenydd,North Wales
Talardd,North Wales
Talsarnau,North Wales
Talysarn,North Wales
Tan-lan,North Wales
Tan-y-bwlch,North Wales
Tan-y-mynydd,North Wales
Tanat,North Wales
Tanygrisiau,North Wales
Tanysgafell,North Wales
Teigl,North Wales
Terfyn,North Wales
The Bar,North Wales
Trawsfynydd,North Wales
Trefaes,North Wales
Trefor,North Wales
Tregath,North Wales
Tremadog,North Wales
Trwyn Cilan,North Wales
Trwyn y Gorlech,North Wales
Tryweryn,North Wales
Tudweiliog,North Wales
Twrch,North Wales
Tyn-lon,North Wales
Tywyn,North Wales
Upper Bangor,North Wales
Uwchmynydd,North Wales
Vaynol Hall,North Wales
Waen-pentir,North Wales
Waen-wen,North Wales
Waterloo Port,North Wales
Waun,North Wales
Waunfawr,North Wales
Wenallt,North Wales
Wern,North Wales
West End (Marian-y-mor),North Wales
Wnion,North Wales
Y Felinheli (Port Dinorwig),North Wales
Y Ffor,North Wales
Wrexham,North Wales
Aber-oer,North Wales
Acrefair,North Wales
Acton,North Wales
Afon Eitha,North Wales
Arowry,North Wales
Ash Grove,North Wales
Bangor on dee (Bangor-is-y-coed),North Wales
Bangor-is-y-coed (Bangor on dee),North Wales
Bedwell,North Wales
Bedwlwyn,North Wales
Bersham,North Wales
Bettisfield,North Wales
Black Park,North Wales
Blackoe,North Wales
Borras,North Wales
Bowling Bank,North Wales
Bradley,North Wales
Broadoak,North Wales
Bronington,North Wales
Brymbo,North Wales
Bryn Offa,North Wales
Bryn Pen-y-lan,North Wales
Bryn-yr-Eos,North Wales
Brynteg,North Wales
Burton,North Wales
Burton Green,North Wales
Bwlchgwyn,North Wales
Caer-Estyn,North Wales
Cefn-bychan,North Wales
Cefn-mawr,North Wales
Cefn-y-bedd,North Wales
Chirk Green,North Wales
Cloy,North Wales
Clywedog,North Wales
Cock Bank,North Wales
Coedpoeth,North Wales
Commonwood,North Wales
Crabtree Green,North Wales
Craignant,North Wales
Cross Lanes,North Wales
Darland,North Wales
Dolywern,North Wales
Drury Lane,North Wales
"Dunks, The",North Wales
Eglwys Cross,North Wales
Erbistock,North Wales
Eyton,North Wales
Farndon,North Wales
Felin Puleston,North Wales
Ffos-y-go,North Wales
Ffrith,North Wales
Four Crosses,North Wales
Fron Isaf,North Wales
Fron-deg,North Wales
Froncysyllte,North Wales
Garden Village,North Wales
Gatewen,North Wales
Gegin,North Wales
Glascoed,North Wales
Glyn Ceiriog,North Wales
Golly,North Wales
Graig,North Wales
Gresford,North Wales
Gwersyllt,North Wales
Gwynfryn,North Wales
Gyfelia,North Wales
Hall Green,North Wales
Halton,North Wales
Hanmer,North Wales
Higher Wych,North Wales
Hightown,North Wales
Holly Bush,North Wales
Holt,North Wales
Honkley,North Wales
Isycoed,North Wales
Johnstown,North Wales
Knolton Bryn,North Wales
Lavister,North Wales
Lightwood Green,North Wales
Little Arowry,North Wales
Little Green,North Wales
Little Overton,North Wales
Llan-y-pwll,North Wales
Llanarmon Dyffryn Ceiriog,North Wales
Llangollen Canal,North Wales
Llay,North Wales
Llwyneinion,North Wales
Llwynmawr,North Wales
Lower Threapwood,North Wales
Lower Wych,North Wales
Marchwiel,North Wales
Marford,North Wales
Merehead,North Wales
Minera,North Wales
Moss,North Wales
Mount Sion,North Wales
New Brighton,North Wales
New Broughton,North Wales
Newbridge,North Wales
Overton (Owrtyn),North Wales
Overton Bridge,North Wales
Owrtyn (Overton),North Wales
Painters Green,North Wales
Pandy,North Wales
Pant,North Wales
Park Lane,North Wales
Parkside,North Wales
Pen-rhos,North Wales
Pen-y-bryn,North Wales
Penley,North Wales
Pentre,North Wales
Pentre Broughton,North Wales
Pentre Bychan,North Wales
Pentre Cilgwyn,North Wales
Pentre Maelor,North Wales
Penycae,North Wales
Plas Coch,North Wales
Ponciau,North Wales
Pont Cysyllte,North Wales
Pontfadog,North Wales
Pulford,North Wales
Redbrook,North Wales
Rhiwabon (Ruabon),North Wales
Rhos y madoc,North Wales
Rhos-ddu,North Wales
Rhosllanerchrugog,North Wales
Rhosnesni,North Wales
Rhosrobin,North Wales
Rhostyllen,North Wales
Rhosymedre,North Wales
Ridleywood,North Wales
Rossett,North Wales
Ruabon (Rhiwabon),North Wales
Sandy Lane,North Wales
Singret,North Wales
Sontley,North Wales
Southsea,North Wales
Street Lydan,North Wales
Stryt-issa,North Wales
Summerhill,North Wales
Sutton Green,North Wales
Sydallt,North Wales
Tai-nant,North Wales
Tallarn Green,North Wales
Talwrn,North Wales
Tanyfron,North Wales
The Chequer,North Wales
The Nant,North Wales
The Wern,North Wales
Threapwood,North Wales
Three Fingers,North Wales
Trefechan,North Wales
Tregeiriog,North Wales
Trevalyn,North Wales
Trevor,North Wales
Upper Threapwood,North Wales
Whitewell,North Wales
Windy Hill,North Wales
Worthenbury,North Wales
Dyfed-Powys,Dyfed-Powys
Dyfed Powys,Dyfed-Powys
Carmarthenshire,Dyfed-Powys
Aber Arad,Dyfed-Powys
Aber-Giar,Dyfed-Powys
Abergorlech,Dyfed-Powys
Abergwili,Dyfed-Powys
Abernant,Dyfed-Powys
Achddu,Dyfed-Powys
Adpar,Dyfed-Powys
Allt,Dyfed-Powys
Alltwalis,Dyfed-Powys
Ammanford,Dyfed-Powys
Ashfield,Dyfed-Powys
Babel,Dyfed-Powys
Backe,Dyfed-Powys
Bancffosfelen,Dyfed-Powys
Bancycapel,Dyfed-Powys
Bancyfelin,Dyfed-Powys
Bancyfford,Dyfed-Powys
Bethlehem,Dyfed-Powys
Betws,Dyfed-Powys
Blaenau,Dyfed-Powys
Blaenwaun,Dyfed-Powys
Bolahaul,Dyfed-Powys
Bont Fawr,Dyfed-Powys
Brechfa,Dyfed-Powys
Broad Oak,Dyfed-Powys
Broadlay,Dyfed-Powys
Broadway,Dyfed-Powys
Bronwydd Arms,Dyfed-Powys
Brook,Dyfed-Powys
Bryn,Dyfed-Powys
Bryn Iwan,Dyfed-Powys
Bryn Myrddin,Dyfed-Powys
Brynamman,Dyfed-Powys
Bryndu,Dyfed-Powys
Burry Port (Porth Tywyn),Dyfed-Powys
Bwlch-newydd,Dyfed-Powys
Bynea,Dyfed-Powys
Caerfyrddin (Carmarthen),Dyfed-Powys
Caio,Dyfed-Powys
Capel,Dyfed-Powys
Capel Dewi,Dyfed-Powys
Capel Gwynfe,Dyfed-Powys
Capel Hendre,Dyfed-Powys
Capel Issac,Dyfed-Powys
Capel Iwan,Dyfed-Powys
Capel Seion,Dyfed-Powys
Carmarthen (Caerfyrddin),Dyfed-Powys
Carmel,Dyfed-Powys
Carway,Dyfed-Powys
Castell-y-rhingyll,Dyfed-Powys
Cefn-y-pant,Dyfed-Powys
Cefncaeau,Dyfed-Powys
Cefneithin,Dyfed-Powys
Cenarth,Dyfed-Powys
Cilgwyn,Dyfed-Powys
Cilsan,Dyfed-Powys
Cilycwm,Dyfed-Powys
Cloigyn,Dyfed-Powys
Clunderwen,Dyfed-Powys
Cothi,Dyfed-Powys
Court Henry,Dyfed-Powys
Croesyceilog,Dyfed-Powys
Cross Hands,Dyfed-Powys
Cross Inn,Dyfed-Powys
Crosshands,Dyfed-Powys
Crugybar,Dyfed-Powys
Crwbin,Dyfed-Powys
Cwm Capel,Dyfed-Powys
Cwm-cou,Dyfed-Powys
Cwm-mawr,Dyfed-Powys
Cwm-miles,Dyfed-Powys
Cwmann,Dyfed-Powys
Cwmbach,Dyfed-Powys
Cwmdu,Dyfed-Powys
Cwmduad,Dyfed-Powys
Cwmdwr,Dyfed-Powys
Cwmfelin Boeth,Dyfed-Powys
Cwmfelin Mynach,Dyfed-Powys
Cwmffrwd,Dyfed-Powys
Cwmgors,Dyfed-Powys
Cwmgwili,Dyfed-Powys
Cwmhiraeth,Dyfed-Powys
Cwmifor,Dyfed-Powys
Cwmisfael,Dyfed-Powys
Cwmpengraig,Dyfed-Powys
Cwrt-y-cadno,Dyfed-Powys
Cydweli (Kidwelly),Dyfed-Powys
Cynheidre,Dyfed-Powys
Cynin,Dyfed-Powys
Cynwyl Elfed,Dyfed-Powys
Cywyn,Dyfed-Powys
Dafen,Dyfed-Powys
Dinas,Dyfed-Powys
Dre-fach,Dyfed-Powys
Drefach,Dyfed-Powys
Dryslwyn,Dyfed-Powys
Dyffryn,Dyfed-Powys
Efailwen,Dyfed-Powys
Felin Newydd,Dyfed-Powys
Felindre,Dyfed-Powys
Felinfoel,Dyfed-Powys
Felingwmisaf,Dyfed-Powys
Felingwmuchaf,Dyfed-Powys
Ferryside,Dyfed-Powys
Ffairfach,Dyfed-Powys
Ffaldybrenin,Dyfed-Powys
Ffarmers,Dyfed-Powys
Fforest,Dyfed-Powys
Ffynnon,Dyfed-Powys
Ffynnon-ddrain,Dyfed-Powys
Five Roads,Dyfed-Powys
Foel-gastell,Dyfed-Powys
Four Roads,Dyfed-Powys
Furnace,Dyfed-Powys
Garnant,Dyfed-Powys
Gellywen,Dyfed-Powys
Glan-y-mor,Dyfed-Powys
Glanaman,Dyfed-Powys
Glandy Cross,Dyfed-Powys
Glanmwrwg,Dyfed-Powys
Glascoed,Dyfed-Powys
Golden Grove,Dyfed-Powys
Gorslas,Dyfed-Powys
Graig,Dyfed-Powys
Greynor,Dyfed-Powys
Gwaun-Cae-Gurwen,Dyfed-Powys
Gwaun-Leision,Dyfed-Powys
Gwendraeth Fach,Dyfed-Powys
Gwernogle,Dyfed-Powys
Gwyddgrug,Dyfed-Powys
Halfpenny Furze,Dyfed-Powys
Halfway,Dyfed-Powys
Hebron,Dyfed-Powys
Hendy,Dyfed-Powys
Henllan,Dyfed-Powys
Henllan Amgoed,Dyfed-Powys
Heol-ddu,Dyfed-Powys
Hermon,Dyfed-Powys
Hiraeth,Dyfed-Powys
Horeb,Dyfed-Powys
Idole,Dyfed-Powys
Iet-y-bwlch,Dyfed-Powys
Johnstown,Dyfed-Powys
Kidwelly (Cydweli),Dyfed-Powys
Laugharne,Dyfed-Powys
Llanarthney,Dyfed-Powys
Llanboidy,Dyfed-Powys
Llandawke,Dyfed-Powys
Llanddarog,Dyfed-Powys
Llanddowror,Dyfed-Powys
Llandeilo,Dyfed-Powys
Llandilo-yr-ynys,Dyfed-Powys
Llandovery (Llanymddyfri),Dyfed-Powys
Llandybie,Dyfed-Powys
Llandyfan,Dyfed-Powys
Llandyfriog,Dyfed-Powys
Llandysul,Dyfed-Powys
Llanegwad,Dyfed-Powys
Llanelli,Dyfed-Powys
Llanfallteg,Dyfed-Powys
Llanfallteg West,Dyfed-Powys
Llanfihangel-ar-arth,Dyfed-Powys
Llanfihangel-uwch-Gwili,Dyfed-Powys
Llanfynydd,Dyfed-Powys
Llangadog,Dyfed-Powys
Llangain,Dyfed-Powys
Llangathen,Dyfed-Powys
Llangeler,Dyfed-Powys
Llangendeirne,Dyfed-Powys
Llangennech,Dyfed-Powys
Llanglydwen,Dyfed-Powys
Llangunnor,Dyfed-Powys
Llangynin,Dyfed-Powys
Llangynog,Dyfed-Powys
Llanllwch,Dyfed-Powys
Llanllwni,Dyfed-Powys
Llanmiloe,Dyfed-Powys
Llannon,Dyfed-Powys
Llanpumsaint,Dyfed-Powys
Llansadurnen,Dyfed-Powys
Llansadwrn,Dyfed-Powys
Llansaint,Dyfed-Powys
Llansawel,Dyfed-Powys
Llansteffan,Dyfed-Powys
Llanwinio,Dyfed-Powys
Llanwrda,Dyfed-Powys
Llanybri,Dyfed-Powys
Llanybydder,Dyfed-Powys
Llanyfaelog,Dyfed-Powys
Llanymddyfri (Llandovery),Dyfed-Powys
Llettyrychen,Dyfed-Powys
Llwyn-teg,Dyfed-Powys
Llwynhendy,Dyfed-Powys
Login,Dyfed-Powys
Loughor,Dyfed-Powys
Machynys,Dyfed-Powys
Maerdy,Dyfed-Powys
Maesgwynne,Dyfed-Powys
Maesybont,Dyfed-Powys
Manordeilo,Dyfed-Powys
Mansant,Dyfed-Powys
Marros,Dyfed-Powys
Meidrim,Dyfed-Powys
Meinciau,Dyfed-Powys
Merthyr,Dyfed-Powys
Milo,Dyfed-Powys
Morfa,Dyfed-Powys
Morfa Bach,Dyfed-Powys
Myddfai,Dyfed-Powys
Myddyn-fych,Dyfed-Powys
Mynyddygarreg,Dyfed-Powys
Myrtle Hill,Dyfed-Powys
Nant,Dyfed-Powys
Nant-y-Bai,Dyfed-Powys
Nant-y-ffin,Dyfed-Powys
Nantgaredig,Dyfed-Powys
Nantycaws,Dyfed-Powys
Neuadd,Dyfed-Powys
New Inn,Dyfed-Powys
Newcastle Emlyn,Dyfed-Powys
Newchurch,Dyfed-Powys
Oaklands,Dyfed-Powys
Pant-y-Caws,Dyfed-Powys
Pantyffynnon,Dyfed-Powys
Pemberton,Dyfed-Powys
Pembrey,Dyfed-Powys
Pen-twyn,Dyfed-Powys
Pen-y-banc,Dyfed-Powys
Pen-y-bont,Dyfed-Powys
Pen-y-fai,Dyfed-Powys
Pen-y-fan,Dyfed-Powys
Pen-y-groes,Dyfed-Powys
Penboyr,Dyfed-Powys
Pencader,Dyfed-Powys
Pencarreg,Dyfed-Powys
Penceiliogi,Dyfed-Powys
Pendine (Pentywyn),Dyfed-Powys
Peniel,Dyfed-Powys
Penplas,Dyfed-Powys
Penrhiwgoch,Dyfed-Powys
Pensarn,Dyfed-Powys
Pentowin,Dyfed-Powys
Pentre,Dyfed-Powys
Pentre-cwrt,Dyfed-Powys
Pentre-Gwenlais,Dyfed-Powys
Pentre-Poeth,Dyfed-Powys
Pentre-ty-gwyn,Dyfed-Powys
Pentrebach,Dyfed-Powys
Pentrefelin,Dyfed-Powys
Pentywyn (Pendine),Dyfed-Powys
Penybanc,Dyfed-Powys
Penybedd,Dyfed-Powys
Pibwrlwyd,Dyfed-Powys
Pinged,Dyfed-Powys
Plashett,Dyfed-Powys
Pont-ar-gothi,Dyfed-Powys
Pont-ar-llechau,Dyfed-Powys
Pont-Henri,Dyfed-Powys
Pont-newydd,Dyfed-Powys
Pontamman,Dyfed-Powys
Pontantwn,Dyfed-Powys
Pontarsais,Dyfed-Powys
Pontbren Araeth,Dyfed-Powys
Pontyates,Dyfed-Powys
Pontyberem,Dyfed-Powys
Porth Tywyn (Burry Port),Dyfed-Powys
Porthyrhyd,Dyfed-Powys
Pumsaint,Dyfed-Powys
Pwll,Dyfed-Powys
Pwll-trap,Dyfed-Powys
Pysgotwr Fawr,Dyfed-Powys
Ram,Dyfed-Powys
Red Roses,Dyfed-Powys
Rhandirmwyn,Dyfed-Powys
Rhos,Dyfed-Powys
Rhosaman,Dyfed-Powys
Rhosmaen,Dyfed-Powys
Rhosyn-coch,Dyfed-Powys
Rhydaman,Dyfed-Powys
Rhydargaeau,Dyfed-Powys
Rhydcymerau,Dyfed-Powys
Rhydyfelin,Dyfed-Powys
Rhydywrach,Dyfed-Powys
Salem,Dyfed-Powys
Sandy,Dyfed-Powys
Sardis,Dyfed-Powys
Saron,Dyfed-Powys
Siloh,Dyfed-Powys
St Clears,Dyfed-Powys
Swiss Valley,Dyfed-Powys
Sylen,Dyfed-Powys
Taf,Dyfed-Powys
Talley,Dyfed-Powys
Talog,Dyfed-Powys
Talsarn,Dyfed-Powys
Tanerdy,Dyfed-Powys
Tanglwst,Dyfed-Powys
Tavernspite,Dyfed-Powys
Teifi,Dyfed-Powys
Temple Bar,Dyfed-Powys
Tir-y-dail,Dyfed-Powys
Trapp,Dyfed-Powys
Tre-gynwer,Dyfed-Powys
Tre-vaughan,Dyfed-Powys
Trelech,Dyfed-Powys
Trevaughan,Dyfed-Powys
Trimsaran,Dyfed-Powys
Trostre,Dyfed-Powys
Tumble,Dyfed-Powys
Twynllanan,Dyfed-Powys
Twynmynydd,Dyfed-Powys
Ty-isaf,Dyfed-Powys
Tycroes,Dyfed-Powys
Tyle,Dyfed-Powys
Tywi,Dyfed-Powys
Upper Brynamman,Dyfed-Powys
Waun y Clyn,Dyfed-Powys
Waungilwen,Dyfed-Powys
White Mill,Dyfed-Powys
Whitland,Dyfed-Powys
Yspitty,Dyfed-Powys
Ceredigion,Dyfed-Powys
Aber-banc,Dyfed-Powys
Aberaeron,Dyfed-Powys
Aberarth,Dyfed-Powys
Aberffrwd,Dyfed-Powys
Aberlerry,Dyfed-Powys
Abermagwr,Dyfed-Powys
Aberporth,Dyfed-Powys
Aberteifi (Cardigan),Dyfed-Powys
Aberystwyth,Dyfed-Powys
Aeron,Dyfed-Powys
Afon Dulas,Dyfed-Powys
Afon Grannell,Dyfed-Powys
Afon Mydyr,Dyfed-Powys
Alltyblaca,Dyfed-Powys
Banc-y-Darren,Dyfed-Powys
Bangor Teifi,Dyfed-Powys
Bethania,Dyfed-Powys
Betws Bledrws,Dyfed-Powys
Betws Ifan,Dyfed-Powys
Beulah,Dyfed-Powys
Blaen-pant,Dyfed-Powys
Blaen-waun,Dyfed-Powys
Blaenannerch,Dyfed-Powys
Blaenbedw Fawr,Dyfed-Powys
